Id,SalePrice
1461,125611.65013181217
1462,166667.13047421395
1463,180220.22409861494
1464,200514.40151610898
1465,183775.69367819664
1466,176481.83904889761
1467,177654.39140146496
1468,162979.54028138128
1469,179487.31733589145
1470,124549.23876024764
1471,185804.53935268146
1472,99510.85420371295
1473,105409.78023332347
1474,149317.80660129554
1475,121508.51914105518
1476,382834.84874984785
1477,263523.7965612761
1478,294798.51999429194
1479,257457.50117775216
1480,603253.2149075336
1481,342160.50322519284
1482,204249.29002404356
1483,178773.76014988145
1484,165702.47796575978
1485,183377.72847956233
1486,192882.73442272755
1487,348475.67280433973
1488,233092.74478360324
1489,204154.69246467916
1490,218770.79506149451
1491,190881.141196852
1492,88679.12905474206
1493,184699.3841536507
1494,292520.2525503517
1495,285210.8833699333
1496,246156.33772859804
1497,175773.09966121818
1498,164877.62085617302
1499,160774.7074113851
1500,153204.20240796698
1501,177691.09346415687
1502,153481.208988411
1503,271976.43402122724
1504,240962.82176882803
1505,222430.112576387
1506,187544.69793577795
1507,245348.2988372812
1508,189530.76993532293
1509,163049.56373388018
1510,143129.40133757525
1511,145019.84641305736
1512,173561.00955749495
1513,146118.42033188054
1514,156268.60498830734
1515,184392.95816452318
1516,148085.91994026167
1517,160557.19413193554
1518,129313.71876175352
1519,224050.4943846222
1520,136970.2761935431
1521,136978.16389206488
1522,169384.20887794555
1523,119474.71768806849
1524,123175.57116358746
1525,123519.23125879424
1526,114743.39355588263
1527,104102.89940925389
1528,130075.77652124138
1529,153927.54585526072
1530,187451.7003787348
1531,111665.05046048769
1532,98915.71205970112
1533,143454.23195956793
1534,122893.31260249298
1535,146101.12163564982
1536,107098.86865552205
1537,52831.66194093485
1538,151912.27504142333
1539,178472.62237983852
1540,81165.68397424798
1541,139489.21079486358
1542,139289.26648047043
1543,219922.35661048794
1544,73776.79571211639
1545,111175.54722696161
1546,130811.5024462903
1547,133068.59820803648
1548,139397.0268991582
1549,113062.21100495826
1550,142194.33674748568
1551,110570.32645332781
1552,144671.60239609994
1553,138749.7304249209
1554,116888.50606476105
1555,165324.70935826705
1556,97130.20333858534
1557,104308.31241453515
1558,99097.06691681873
1559,70220.36016106136
1560,139748.96839316146
1561,143069.1285043964
1562,129656.41470036711
1563,121428.09722856936
1564,153185.52781351516
1565,150546.55589822007
1566,220662.27884010624
1567,64269.95955620256
1568,236029.52951949736
1569,144170.781056006
1570,134255.73915106154
1571,106837.10772445025
1572,147031.13701495845
1573,233320.44200748624
1574,117919.80866211049
1575,222093.48452960886
1576,241098.62649218607
1577,197245.54459826183
1578,142995.18289151936
1579,144693.76327741417
1580,187736.37739530343
1581,148313.43951759778
1582,128479.47569230723
1583,326469.14063517
1584,223933.6614189594
1585,139454.08220998425
1586,65219.51230291168
1587,104394.09926937777
1588,156171.37368724553
1589,94654.16688140808
1590,131487.54572096196
1591,92379.34973572152
1592,118340.9156838675
1593,124364.42862185297
1594,139825.8692609532
1595,118196.07725858285
1596,252410.07129198906
1597,192203.72835295842
1598,204781.39426645805
1599,162673.88031892845
1600,156721.86115798686
1601,66029.07662485586
1602,116171.03378971764
1603,70309.68237867727
1604,269587.5548627588
1605,234824.94612784416
1606,171888.21179625692
1607,165460.86342148494
1608,211034.9924053288
1609,189077.8119388192
1610,159003.8360965909
1611,139457.83185864042
1612,162787.96394400697
1613,155247.67516157482
1614,117177.03845525431
1615,88010.44165660374
1616,68392.77654994311
1617,86586.44578186522
1618,124545.57941734587
1619,137548.3317460526
1620,182008.84488013532
1621,138696.14200311384
1622,143243.71569244945
1623,264096.5989127516
1624,211786.70694558884
1625,118824.405255976
1626,161837.84715890733
1627,186770.22605946253
1628,282664.02942919236
1629,182521.44530966665
1630,355656.5752432026
1631,223979.06395301782
1632,239121.83241550706
1633,178251.8770307919
1634,186572.22799280751
1635,176213.90432367372
1636,156036.2109992103
1637,196922.9878928709
1638,180853.19903871932
1639,177088.92590436805
1640,261963.5516577661
1641,175204.57619601095
1642,239501.13019898397
1643,219092.58939714957
1644,235365.6298427136
1645,201757.15807285983
1646,165925.2264931472
1647,155711.24203049802
1648,134476.64537473107
1649,138260.6040613572
1650,117613.54621242757
1651,121011.44203397309
1652,98580.35852528509
1653,100124.74974291054
1654,144065.9146841381
1655,142336.02376039608
1656,146521.036785149
1657,148900.7342011063
1658,147578.41047570755
1659,129994.20158028511
1660,153213.37617103884
1661,459384.675047669
1662,430486.0464637172
1663,413786.9899242939
1664,369662.58571150515
1665,309519.55327219504
1666,323689.5997900337
1667,370236.2140601384
1668,345875.59050522157
1669,297156.98660271295
1670,337183.18909430323
1671,273096.3920580723
1672,468543.4554534184
1673,289907.66935098346
1674,243316.5616005724
1675,191846.73121920184
1676,199053.5279101904
1677,215821.98613477114
1678,528893.106569027
1679,402685.3669058553
1680,362732.2541856713
1681,235039.55244902303
1682,304424.085653793
1683,182087.8393585173
1684,172393.68255852102
1685,170295.98577475606
1686,171510.02720395598
1687,172179.63356847523
1688,188958.76192390727
1689,183302.86654480378
1690,185264.57523589823
1691,183048.84331687586
1692,250865.36523036278
1693,176110.61666321888
1694,182539.01727328444
1695,173991.81509217608
1696,277907.5517073196
1697,173387.6730143724
1698,369495.16294058965
1699,369346.61831259594
1700,253706.28061264523
1701,266601.919263706
1702,262517.83433827263
1703,263324.8739392912
1704,294224.70886671415
1705,233542.70673452303
1706,404829.8810952906
1707,220575.37584082698
1708,213354.02231914634
1709,286517.73703520984
1710,227549.88509198057
1711,253077.8114500813
1712,264750.79204776057
1713,282825.8678277479
1714,229543.121012513
